Estevan | Lat: 49.104014, Lon: -102.814737 | Coal
Eurallumina | Lat: 39.209412, Lon: 8.399670 | Processing
EVRAZ VGOK | Lat: 57.910652, Lon: 59.916015 | Iron
Evrazruda | Lat: 52.941225, Lon: 87.734644 | Iron
Extension Hill/Iron Hill | Lat: -29.570508, Lon: 117.148110 | Iron
Exxaro Coal Central | Lat: -26.184297, Lon: 29.518364 | Coal
Fabrica | Lat: -20.181017, Lon: -43.880841 | Processing
Fairfield Works | Lat: 33.483981, Lon: -86.923763 | Processing
Falcondo | Lat: 18.929576, Lon: -70.354324 | Nickel
Falkirk | Lat: 47.402061, Lon: -101.146034 | Coal
Farmersburg | Lat: 39.248651, Lon: -87.381963 | Coal
Fazenda | Lat: -11.452829, Lon: -39.077736 | Gold
Federal | Lat: 39.669997, Lon: -80.253253 | Coal
Fernandinho | Lat: -20.183833, Lon: -43.859028 | Iron
Ferrexpo Poltava Mining | Lat: 49.032327, Lon: 33.668635 | Iron
Five Forks | Lat: 32.003850, Lon: -93.095541 | Coal
Fjardaal Aluminium Smelter | Lat: 65.033548, Lon: -14.096807 | Processing
Flint Ridge | Lat: 37.482376, Lon: -83.236439 | Coal
FNI Cagdianao | Lat: 9.495076, Lon: 125.867516 | Nickel
Fort Knox | Lat: 64.996860, Lon: -147.360785 | Other (poly)-metallic
Fort Site | Lat: 53.719844, Lon: -113.189827 | Processing
Fortaleza | Lat: -20.897598, Lon: -46.712042 | Nickel
Fortescue Pilbara Region | Lat: -22.301578, Lon: 118.373680 | Iron
Fortnum Gold Operations | Lat: -25.329329, Lon: 118.356257 | Gold
Fos-sur-Mer steel plant | Lat: 43.437098, Lon: 4.877832 | Processing
Foxleigh | Lat: -22.981441, Lon: 148.783101 | Coal
Francisco | Lat: 38.337959, Lon: -87.433876 | Coal
Franke | Lat: -25.836793, Lon: -69.856130 | Copper
Freda-Rebecca | Lat: -17.297133, Lon: 31.308718 | Gold
Freedom | Lat: 47.384856, Lon: -101.841830 | Coal
Fresnillo | Lat: 23.162001, Lon: -102.872239 | Silver
Friguia | Lat: 10.387486, Lon: -13.578314 | Aluminium
Frontier | Lat: -12.741208, Lon: 28.483014 | Copper
Fruta del Norte | Lat: -3.834197, Lon: -78.603979 | Other mine
